1016	4816.42578125 5683.8193359375 -3567.67236328125 -45.160438537597656 1856.0440673828125 -3309.380859375 -3674.645263671875 -7280.7119140625 9919.3037109375 -8024.70068359375 -5334.3623046875 -4312.04052734375 2572.75732421875 -3682.51123046875 -3961.063720703125 2429.836181640625 2348.361328125 5316.12158203125 -3893.885009765625 5458.1044921875 7085.18896484375 1275.24072265625 3349.269287109375 7889.96875 9118.306640625 -3888.69921875 -4650.71728515625 3208.74462890625 -4215.0771484375 2402.44873046875 3996.879150390625 8344.5146484375
1017	7.314785003662109 -0.13198621571063995 -11.668766975402832 2.2762606143951416 -0.04429052770137787 -4.204518795013428 -9.842679023742676 -5.52907657623291 12.666994094848633 -13.316974639892578 -11.536481857299805 -2.965351104736328 3.37428879737854 -0.9374330043792725 -7.995031833648682 4.195132255554199 3.1380178928375244 0.6149674654006958 -7.12866735458374 4.510309219360352 4.153390884399414 6.667158126831055 13.258224487304688 10.198090553283691 10.710724830627441 -3.70634126663208 -7.208540916442871 7.453760623931885 -8.497676849365234 2.788008213043213 0.6959076523780823 7.311319351196289
1018	0.17208331823349 0.19827590882778168 0.12341571599245071 -0.10937276482582092 -0.10304553061723709 -0.1075279638171196 0.09881802648305893 -0.12025819718837738 -0.019486695528030396 0.06545640528202057 0.004912637174129486 0.1922554075717926 -0.07215626537799835 0.1060684323310852 -0.0757593885064125 -0.09285011142492294 -0.055333465337753296 -0.07189876586198807 0.12788575887680054 0.17703232169151306 -0.1588115096092224 -0.19105280935764313 -0.22834497690200806 -0.14330844581127167 -0.08941523730754852 0.13712280988693237 -0.11053577810525894 -0.3139813244342804 -0.013947725296020508 0.010805770754814148 -0.08473557233810425 0.08603999018669128
1019	11.478062629699707 -0.21613076329231262 -18.294878005981445 3.539553642272949 -0.10447835922241211 -6.596693992614746 -15.418373107910156 -8.709877014160156 19.98335075378418 -21.02300453186035 -18.146198272705078 -4.665421485900879 5.245577812194824 -1.4497474431991577 -12.526540756225586 6.545745849609375 4.8709635734558105 0.9204372763633728 -11.164952278137207 7.078804969787598 6.553701400756836 10.470355987548828 20.844711303710938 16.166414260864258 16.947166442871094 -5.800805568695068 -11.33746337890625 11.769048690795898 -13.404644966125488 4.402247428894043 1.0757856369018555 11.52493667602539
102	0.5393111109733582 0.6154151558876038 0.4212084710597992 -0.3931994140148163 -0.3751627802848816 -0.3360687494277954 0.3573762774467468 -0.42388954758644104 0.07771286368370056 0.04081511124968529 -0.03645720332860947 0.5939436554908752 -0.29987552762031555 0.3662945032119751 -0.20728258788585663 -0.34909588098526 -0.25181901454925537 -0.2903960049152374 0.43993431329727173 0.5591243505477905 -0.45534560084342957 -0.5982924103736877 -0.676897406578064 -0.23265597224235535 -0.09541594982147217 0.45812126994132996 -0.3809604346752167 -0.8982571959495544 -0.13599151372909546 0.07036575675010681 -0.29152244329452515 0.3399009704589844
1020	0.08579370379447937 0.1369592547416687 0.05773542821407318 -0.060948409140110016 -0.0453220009803772 -0.09481193125247955 0.07874828577041626 -0.05183480679988861 -0.026614511385560036 0.08106091618537903 0.02631588652729988 0.10914412885904312 -0.049828384071588516 0.06942896544933319 -0.05806218832731247 -0.07254186272621155 -0.0396634079515934 -0.061216190457344055 0.08040617406368256 0.10300495475530624 -0.10295331478118896 -0.08956173807382584 -0.11720911413431168 -0.11547327041625977 -0.03242066130042076 0.07163992524147034 -0.0884130448102951 -0.18107309937477112 0.014493678696453571 0.028666958212852478 -0.04716402664780617 0.04206584021449089
1021	0.08573716878890991 0.13744616508483887 0.057723499834537506 -0.06113259494304657 -0.045327164232730865 -0.09538717567920685 0.07927219569683075 -0.05179063603281975 -0.026516498997807503 0.08135362714529037 0.026541123166680336 0.10925748199224472 -0.050192974507808685 0.0697239488363266 -0.05826461315155029 -0.07304541766643524 -0.04001864045858383 -0.06173073872923851 0.08070849627256393 0.10317672789096832 -0.10315007716417313 -0.08941317349672318 -0.11708840727806091 -0.11554603278636932 -0.03175368905067444 0.07171373069286346 -0.08895747363567352 -0.18112291395664215 0.014589225873351097 0.02909988909959793 -0.047273505479097366 0.04219883680343628
1022	0.08571533113718033 0.134792298078537 0.05749120935797691 -0.05994849652051926 -0.04500655084848404 -0.09245286881923676 0.07648618519306183 -0.05168895795941353 -0.027273457497358322 0.08022110164165497 0.02557445503771305 0.10840798914432526 -0.0481545627117157 0.06805320829153061 -0.05723654106259346 -0.07034283876419067 -0.03804294764995575 -0.05899502709507942 0.07895341515541077 0.10204360634088516 -0.10203620046377182 -0.0898006483912468 -0.11736761033535004 -0.1154545247554779 -0.035221654921770096 0.07106173783540726 -0.08608360588550568 -0.1805489957332611 0.014368914067745209 0.026924753561615944 -0.04654541611671448 0.04125352203845978
1023	0.749086320400238 0.8439557552337646 0.6473870277404785 -0.6374627351760864 -0.6156575679779053 -0.4651138186454773 0.5827351212501526 -0.6738877892494202 0.3592875003814697 -0.24091310799121857 -0.14454758167266846 0.8094180226325989 -0.5500597953796387 0.570121169090271 -0.23330900073051453 -0.5901106595993042 -0.4917621612548828 -0.5211870670318604 0.6819376945495605 0.784399688243866 -0.5557238459587097 -0.8301601409912109 -0.870032012462616 0.0688960999250412 0.20217669010162354 0.6877086162567139 -0.59169602394104 -1.0923278331756592 -0.3560110330581665 0.16384023427963257 -0.4519311189651489 0.5993397235870361
1024	0.9439439177513123 1.0979468822479248 4.82180643081665 -3.9816720485687256 -7.986137390136719 15.12791919708252 3.7590460777282715 2.994917392730713 5.5440826416015625 -2.9445297718048096 6.372251510620117 -3.5916247367858887 -6.266146183013916 7.955970764160156 23.15282440185547 -5.98265266418457 -15.817159652709961 -0.3880743086338043 5.148880481719971 -14.782581329345703 9.382022857666016 1.6481311321258545 3.2243454456329346 5.200526237487793 3.3010506629943848 1.466108798980713 5.580644130706787 8.613059997558594 -1.2439591884613037 1.6395591497421265 -10.913792610168457 -1.7744419574737549
